"Control Number","Item Number","Block Number","Block Time","Item Name",Value,Description,Donor
S001,400,50,13:10:00,"Signed Hockey Jersey-& signed Hockey Stick",200.00,"Great hockey jersey which has been signed by Bailey #12 of the New York Islanders.  It has a white background with their colors of orange and blue, numbers and stripes on the bottom. Great for the avid hockey fan to wear to the game. Also we have a Scotia Bank hockey stick signed by two players Mike Pelyk and Mark Napier - two great items for the hockey fan or gifts for Christmas","Patrick Grist"
X167,401,50,13:10:00,"2 Tickets Raptors vs. Detroit Wed Dec 19th",300.00,"This pair of tickets are top value for watching the match between the Toronto Raptors and the Detroit Pistons Wednesday, December 19th at 7:00 pm.You will be in Section 120M Row 26 with Air Canada bar and restaurant access.","John McFadyen"
S016,402,50,13:10:00,"Broil King Barbecue",380.00,"Great Broil King Crown Series Barbecue which is super 8 infinity burner, 40,000 BTU main burner output which 635 sq.inches total cooking space  A therma-cast oven design provides even greater clearance for large roasts, and promotes better convection cooking.  The stylish stainless steel wrap is insulated from direct heat, to protect against discolouration. Great for the Chef of the housewho needs a great barbecue.  Enjoy your meals. Donated by Dickson Home Hardware","Dickson Home Hardware"
W110,403,50,13:10:00,"$395 MOVING SUPPLIES KIT",395.00,"THE BOX SPOT LOCATED AT 2877 BLOOR STREET WEST IN THE KINGSWAY DONATES - A $395 GIFT CERTIFICATE FOR A MOVING SUPPLIES KIT - CONSISTING OF EVERYTHING NEEDED TOPACK UP AND RELOCATE THE FURNISHINGS OF A THREE BEDROOM HOUSEHOLD - KIT AND PACKAGING MATERIAL WILL BE DELIVERED AT NO COST - CERTIFICATE IS VALID UNTIL OCTOBER 12, 2013 - HERE'S A GREAT AUCTION ITEM IF YOU ARE PLANNING TO MOVE IN THE NEAR FUTURE - COURTESY OF THE BOX SPOT IN THE KINGSWAY","The Box Spot"
U101,404,50,13:10:00,"$25 Gift Certificate from Private REserve",25.00,"Like Fine Wine? Like to save money? Come in to Private Reserve, just east of Cliffcrest Plaza. There you'll find genial host and guide Michael Forde. He'll expalin the various merits of the extensive range of wines from Australia, New Zealand, California, Europe, South Africa and of course, Canada. Within a few weeks you have a case of excellent wine for your table ready for bottling. Over 1200 Private Reserve customers keep coming back--there's a vote of good taste! The $25 voucher to be applied to your favourite wine batch.( good for one year )","Brian Philcox "
S181,405,51,13:20:00,"Gift Certificate for Massage Therapy",85.00,"One hour session with a Registered Massage Therapist or a Sports Injury Therapist at Veritas Rehabilitation Services.Veritas Rehabilitation provides rehabilitation services specializing in Sports and/or Athletic type injuries.  They use a combination of Deep Tissue Massage, Exercise Rehabilitation, Acupuncture and Electrotherapy (Ultrasound, TENS) to treat sports injuries such as ligament sprains, muscle strains, tendinitis, bursitis etc.  Sports Injury Therapists are unique as they provide the rehabilitative comprehensive treatment of a Physiotherapist with the hands on treatment of a Massage Therapist.  Nina Rafeek, the owner of Veritas Rehabilitation, is a duly qualified Sports Injury Therapist licensed to practise Sports Injury Therapy, Massage Therapy and Acupuncture in the province of Ontario.","Veritas Rehabilitation Services"
X140,406,51,13:20:00,"Calloway Golf Bag",150.00,"Beautiful black golf bag, lots of useful pockets, including a cooler pocket.  A fantastic Honeywell golf bag by Calloway.","Honeywell Canada Ltd"
S072,407,51,13:20:00,"Certificate for Dozen Roses in a Vase",100.00,"Once again Van Nes Flowers Ltd. at  204 Parkhurst Blvd. Toronto has donateda dozen Roses arranged in a vase, to be delivered anywhere in Metro Toronto.Great gift for a sweetheart, mother or any special occasions. You will be ahit with this item ","Van Nes Flowers"
Y016,408,51,13:20:00,"Single Vision Prescription lenses",150.00,"From Your Choice Optical in Bloor West Village:Bring your frames and this gift certificate for:One pair (two lenses) of high index single vision clear prescriptionEach lens valued at $150.","Your Choice Optical"
S116,409,51,13:20:00,"Cuisinart Chopper & Slow Cooker",100.00,"Cuisinart Elite Collection four cup Chopper and Grinder has auto-reversing smartpower blade, bladelock system and limited 18 month warranty. Convenient size small enough to keep on the counter and has a four cup work bowl. Chop your vegetables etc, then put them in this Kalorik  slow cooker which is 3.7 quart capacity with a 2 heat setting and warm function. Black ceramic pot to lift out for the table pilot light red stainless steel housing. Great for the home to make those warm stews and meat dishes. two items for Xmas gifts.","Kelly McCutcheon"
U044,410,51,13:20:00,"STUART CRYSTAL - SUMMER FLOWER CAKE PLATE",90.00,"1 LEVEL CAKE PLATE WITH PEDESTAL FEATURING SUMMER FLOWERS. Would look great for showing the great cake you made to your guests.  Enjoy","ANONYMOUS- SCARBOROUGH TWILIGHT ROTARY CLUB"
X120,411,51,13:20:00,"Gift Cards for ESSO gas purchase",50.00,"These gift cards can be used at any ESSO station for gas purchases.  Makes a great gift for anyone or use them yourself to help you fill up when you need to.","Kevin Manuel Architect Ltd."
U085,412,51,13:20:00,"Shammy's Auto Detailing Inc",150.00,"Gold Detailing Package. Exterior wash. clean rims, tires, and wheel wells. Clean windows inside and out. Interior Shampoo (seats, carpets, mats,trunk, desalting and deordorize) Interior Wipe Down ( Doors Jams, dashboard, console, seat belts and more) Dress tires. The car cleaning & rust proofing experts. 905 831 2444. Visit shammysauto.ca","Buyers Choice Home Inspection"
X028,413,52,13:30:00,"16 inch S.S. Herringbone Necklace",250.00,"This beautiful herringbone necklace shows exquisite craftsmanship.  It was created in Bali, Indonesia. This 16"" necklace is the perfect accessory to grace a beautiful neck.  A substantial item of jewelry to adorn a special person.  200 grains!","The Artisans"
S274,414,52,13:30:00,"1 bottle Courvoisier Cognac",126.00,"1 700ml bottle of Special Edition Courvoisier Cognac ""Millenium 2000"".  A special blend introduced for the Millenium and crafted from ""eaux-de-vie"" from the Grande Chamgpagne and Petite Champagne regions.  Blended with mature ""Borderies"" for extra smoothness. A very rich, full-bodied Cognac.  There are many Cognacs from ""XO"" to ""SA"" to Champagne.  Many call this their favourite.   ","Investors Group Financial Services"
S160,415,52,13:30:00,"Framed RBC Canadian Open Pin flag",340.00,"this is a Hand signed framed RBC Canadian Open replica Pin flagfrom the 100th playing of the tournament. Finished Size is 22"" by 28"" Donated by ""Theo Kalamaras"" of RBC Dominion Securities --- committed to working with clientele to ensure that they have a strategy that not only provides peace of mind but also a vehicle to accomplishing their goals and objectives. ","RBC Dominion Securities"
S195,416,52,13:30:00,"Women's Running Shoes",170.00,"Walking On a Cloud at Eglinton Square has donated this great New Balance Running shoes. These are size 7B but can be exchanged at the Eglinton Squarestore for your size.  They are white with gray and blue trimming. Achieve new balance when you walk or run with these shoes","Walking on a Cloud"
X094,417,52,13:30:00,"Pair of Raptor Tickets",244.00,"Raptors play Oklahoma City Thunder on Sunday Jan 6, 2013.  These seats are in Sec 105, Row 21, Seats 16 & 17","Guranteed Insulation 77 Ltd"
S221,418,52,13:30:00,"Certificate for one Will & Two Powers of Attorney",350.00,"Once again Duncan Boardman has donated to our auction with this great packageof one Will and Two Powers of Attorney(one Financial and the other Medical. His office is located at 1036 Coxwell AVenue, Toronto. Everyone should havea will.","Duncan Boardman LLB"
U034,419,52,13:30:00,"2 MONTH CURVES MEMBERSHIP TO INCLUDE 2 ZUMBA CLASSES AND SERVICE FEES",140.00,"FEATURING AN HOUR AND A HALF WORKOUT IN JUST 30 MINUTES!! EACH MACHINE USES 2 OR MORE MUSCLE GROUPS.FUN, FAST AND SAFE FITNESS!!!!!","CURVES FOR WOMEN"
Y070,520,52,13:30:00,"2 Chiropractic Recommended Neck Support Pillows",150.00,"Essence of Life Wellness Care is in the Heart of Bloor West Village serving the community for more than 12 years the best in Chiropractic Care.Professional premium waterbase pillow with three therapies in one proven pillow: Neck Pain Relief + Improved Sleep + Superior Comfort.  3 year warranty. ","Essence of Life Wellness Care"
X156,421,53,13:40:00,"Permanent (for a man or a woman)",80.00,"Modern Hair Place is a friendly, unisex salon.  An appointment is required.  This voucher is valid Monday through Thursday only, and is not valid on Fridays, Saturdays Christmas week or holidays. Modern Hair Place has been on the ""Cutting Edge"" of Hair Design for 25 years.","Modern Hair Place"
Y055,422,53,13:40:00,"Golf Foursome",300.00,"Enjoy a day of golf at one of Ontario's finest courses.Valid for one foursome, Monday to Thursday, anytime.Weekends and holidays after 12 noon.Golf Carts are extra and mandatory.Package expires at the end of the 2013 season.","Royal Ontario Golf Club"
U029,423,53,13:40:00,"ROYAL DOULTON'S FIGURINE - ''DADDY'S GIRL''",250.00,"ROYAL DOULTON'S FIGURINE - DADDY'S GIRL  HN5479 This beautiful figurinewould be a nice gift for Christmas, or birthday. ","Deborah   Cloakey"
U008,424,53,13:40:00,"Vtech InnoTab 2. The Learning App Tablet for Children 3-9",100.00,"The VTech Inno Tab 2 puts your child on the cutting edge of learning. Fusing technology and fun, InnoTab 2 brings the excitment of an adult tablet and customizes it into an educational experience that's just for kids. With its many built-in apps including a rotating camera, video recorder, e-reader, MP3 player, art studio, and learning games, there's no limit to what your child can discover!","Millie Tavener"
S012,425,53,13:40:00,"Juice Xtra juicer",250.00,"This excellent slow juicer by Georges Laraque is a juice Xtra showing on TVRecharge y;our energy and vitality with this juice which retains up to 5X more nutrients than regular juicers thanks to the technology that gently squeezes food to lock in essential vitamins, minerals, antioxidants and flavour.  Kit contains juicer, instruction booklet, pusher pulp collector and one cleaning brush. Also a free 30 recipe booklet and an apple cutter.  Easy to clean and has 5 year warranty for motor and 1 year warranty for all other parts. Great way to get your vitamins and have a healthy drink as well.","Fred Pierce"
X182,426,53,13:40:00,"Electric Trolling Motor by Minn Cota",150.00,"This is a 13.6 kw (30 lb.) thrust electric trolling motor.  It is light weight and has a 30 inch depth with handle for steering and control.","Rotary Club of Bowmanville"
Y059,427,53,13:40:00,"Handyman Services for 4 hours",200.00,"Four hours of skilled handyman services to be redeemed in one visit.Based in South Etobicoke, Daryl does quality work and guarantees satisfaction!","DGM Contracting"
U127,428,53,13:40:00,"$29 Voucher for CAA Care Care Centre",29.00,"Next time you need an oil change you won't find a better place to have it done than the CAA Car Care Cntre at Kingston Road and Morningside in Scarborough. The Car Car Team under the able directon on Moenes Salib will treat you car with the fine service it deserves. The CAA Oil Change Plus package includes Tire Rotation, Oil Filter and change. Visual check of the brakes, tires, battery, fluids, air filter, lights, hoses, belts and more. You can depend on the Canadian Automobile Association to provide you with truly professional service for your vehicle. This offer good for one year and may be redeemed at any CAA Car Care Centre in Ontario","CAA Care Care Centre"
U069,429,54,13:50:00,"FREDDIE BUNNYKINS # 426/500",200.00,"ROYAL DOULTON FINE CHINA. FREDDIE BUNNYKINS DB 475. THIS FIGURINE IS HANDMADE, HAND DECORATED AND MODELLED BY SHANE RIDGE. IT IS ISSUED IN A WORLDWIDE LIMITED EDITION OF 500","Friends of Rotary"
X063,430,54,13:50:00,"Barbie Set",50.00,"Complete Barbie Set for ages 3+","Christina Mueller"
S066,431,54,13:50:00,"Pair of Decorative Table Lamps",110.00,"These are a pair of decorative table lamps which are approximately two feettall with a lampshade of red with a fringe of black that is four inches hangingdown. Would look beautiful on any table in any room.","Friends of Rotary"
V002,432,54,13:50:00,"Bluetooth Headset",100.00,"Worldlynx generously donates a wireless Bluetooth Headset valued at $100. Stay connected with this package which includes a Bluetooth 2.0, PC USB charger and automatic power on and off.",Wordlynx
W153,433,54,13:50:00,"$130 GREEN FEES GIFT CERTIFICATE",130.00,"BANTY'S ROOST GOLF AND COUNTRY CLUB LOCATED AT 12600 BRAMALEA ROAD IN CALEDON DONATES - A $130 GIFT CERTIFICATE FOR 2 ROUNDS OF GOLF WITH POWER CART - ENJOY YOUR GOLF GAME WITH A FRIEND AT THIS OUTSTANDING GOLF COURSE DURING THE 2013 SEASON - COURTESY OF BANTY'S ROOST GOLF AND COUNTRY CLUB","Banty's Roost Golf & Country Club"
W118,434,54,13:50:00,"$80 LUBE / OIL / FILTER SERVICE PACKAGE",80.00,"ACTIVE GREEN & ROSS AUTOMOTIVE CENTRES DONATES - AN $80 GIFT CERTIFICATE FOR A COMPLETE LUBE, OIL, FILTER SERVICE PACKAGE - INCLUDES 30 POINT COURTESY CHECK & FREE BATTERY INSPECTION - HAVE YOUR CAR PROPERLY SERVICED TO ENSURE SAFE AND CARE FREE DRIVING DURING THE WINTER SEASON - VALID AT ANY SERVICE LOCATION OF ACTIVE GREEN & ROSS AUTOMOTIVE CENTRES","Active Green & Ross "
W112,435,54,13:50:00,"TWO $25 DRY CLEANING GIFT CERTIFICATES",50.00,"BRIGHTEN CLEANERS LOCATED AT 2081 LAWRENCE AVE. WEST ( AT WESTON ROAD ) DONATES - TWO $25 GIFT CERTIFICATES FOR DRY CLEANING SERVICES - FOR ONE HOUR EXPERT SERVICE VISIT BRIGHTEN CLEANERS - ALL WORK DONE ON THE PREMISES - COURTESY OF BRIGHTEN CLEANERS ","Brighten Cleaners"
W156,436,54,13:50:00,"THE KEG & LOBLAW - 2 X $25 GIFT CARDS",50.00,"THE KEG RESTAURANT AND LOBLAWS COMBINE TO EACH DONATE - A $25 GIFT CARD - USE THIS $50 PACKAGE FOR YOUR HOLIDAY ENTERTAINMENT AND FESTIVE FOOD GROCERY NEEDS","Loblaw Superstore"
S139,437,55,14:00:00,"Certificate for Car Washes & 25.00 Gas Card",150.00,"Donated by Sal Badali and son John their Toronto Autowash have the best car washes in Toronto.You get nine car washes and a $25.00 gas card. The car wash includes bottom blaster, then power wash with soft sponge brushes with foamy soap, then rinsed and it treats the car finish with two coats of wax. Touchless dryers and you have a sparkling clean car. Four locations to serve you Toronto City Hall, 1070 Millwood Rd., 305 Rexdale Blvd and 751 Kipling Ave. Drive a clean car for this winter.","Sal Badali"
X099,438,55,14:00:00,"2 Rounds of Golf at Whispering Ridge",155.00,"Enjoy four rounds of golf at the beautiful Whispering Ridge golf course.  This course offers a brisk 18 hole challenge made up of short and long holes measuring in at a total of 4773 yards.  This would be great as a gift to just spoil yourself.","Whispering Ridge Golf Course"
X127,439,55,14:00:00,"Music Gift Certificate",219.00,"The New Conservatory of Music has provided this gift certificate for registration and tuition fees for Piano, Voice or Guitar lessons.  This certificate if only valid for new students.The Conservatory is located on Sheppard Ave. near Brimley Road in Scarborough","New conservatory of Music Ltd"
S046,440,55,14:00:00,"Men and Woman Watches",199.00,"This beautiful set of man and woman's watches are gold plated with lovelybands.  The faces have a white pearlized color on them with only one dot ingold for kthe 12 o'clock hour. Great gift for a couple.  Made by Geneva","Geneva Centre for Autism"
U087,441,55,14:00:00,"Buyers Choice Home Inspection Certificate",300.00,"Home inspection is vital to new home buyers. This coupon entitles the buyer to a $300 credit on an inspection. This would cover an approximate 1400 sq, ft. home. If the home is larger then this certificate would apply towards that amount","Buyers Choice Home Inspection"
X158,442,55,14:00:00,"Ladies Large Down Winter Coat",180.00,"This is a quality down-filled winter coat made by Columbia.  It has omni-shield which gives advanced water repellancy.  It resists rain and stains and will keep you warm in the coldest conditions.  Colour is Deep Purple.","National Sports"
S022,443,55,14:00:00,"DeWalt  Reciprocating Saw Kit",130.00,"Dickson Home Hardware has donated a DeWalt reciprocating Saw Kit It has flush cutting 4 position keyless blade clamp. Does 0-2800 strokes per minute and has 1 1/8th(28.6mm) stroke length. Has an operating manual and comes in a heavyduty carrying case.  Would make a gift for the handyman for Christmas","Dickson Home Hardware"
X111,445,56,14:10:00,"Gift Certificate for The Keg Steakhouse & Bar",50.00,"The KEG Steakhouse & Bar invites you to experience the steakhouse with a difference where Quality, Comfort, & Value are the key ingredients.This certificate can be used at any of the many KEG Restaurant locations.","The Keg Steakhouse and Bar"
S106,446,56,14:10:00,"Newborn Diapers,blanket, outfit etc.",75.00,"Massey Centre has donated this gift to cuddle your newborn in this beautiful handknitted blanket in a soft blue color with a knitted hat. A handknitted soft bear to cuddle, a pair of white socks and a sleeper for a 6 to 12 month size, in white and blue.  Included as well is the box of Huggies for the newborn up to 10 lb.  What a gift for a shower or for the newbaby","Massey Centre"
S018,447,56,14:10:00,"Gardena Sprinkler, Hose Gun & Connectors",80.00,"Onces again we have the great company of Gardena items. One is a polo oscillating sprinkler with adjustable distance up to 2400 sq. ft.,quick connector starter kit which can click on or off quickly , leak-free and rust resistant. Last but not least a multi functional hose gun which has four distinct adjustable jet forms , with water flow fully variable at sprayer head and a soft grip for ease of use and comfort.  All you need to use for a beautiful lawn and flower gardens. Donated by Dickson Home Hardware","Dickson Home Hardware"
W060,448,56,14:10:00,"FRAMED ORCHIDS WATERCOLOR PRINTS",95.00,"MARY LOU ADDISON - A FRIEND OF ROTARY DONATES - A FRAMED "" ORCHIDS "" ORIGINAL WATERCOLOR - 3 PRINTS BY MISSISSAUGA ARTIST ORYTHIA JOHNSTON - MEASURES 11"" X 21"" - THIS ORIGINAL ARTWORK WOULD DELIGHT ANY ORCHID LOVER OR ANY FLOWER ENTHUSIAST - A VERY UNIQUE XMAS PRESENT OR BIRTHDAY GIFT","MARY LOU ADDISON"
X096,449,56,14:10:00,"Avon ""Head-To-Toe"" Beauty Package",100.00,"This beautiful package includes:1.Pro line eraser treatment - the anti-aging breakthrough of the decade,2. Colour Palette - 39 colours for lips, cheeks & eyes3. Moroccan Argan Oil hair treatment4. Naturals Bath & Body collection in Vanilla5. Foot works collection in pomegranate chocolate!WANTED: Avon is seeking representatives Earn additional income & be your own boss. Call1-800-265-2566 or visit avon.ca for details..","Avon Canada Inc."
X138,450,56,14:10:00,"Pair of Raptor Tickets 12 Feb 2013",108.00,"These are a pair of tickets when the Raptors play against the Denver Nuggets on 12 Feb 2013 at 7:00 pm.  Tickets are in Section 101, Row 32, seats 25 & 26.","Chouinard Bros. Roofing & Aluminum Windows"
S211,451,56,14:10:00,"Pair tickets to Bluma Appel Theatre ",122.00,"We have a pair of tickets to live theatre courtesy of Paragon Travel. The Canadian Stage Company presents on Friday May 10th, 2013 at 8.00 p.m. called The Golden Mean. Bluma Appel is located at 27 Front St E. next to the Sony Centre. Enjoy the evening.","Paragon Travel"
U112,452,56,14:10:00,"$25 Gift Certificate from Phoenix Pan Asian Cuisine",25.00,"Want some real variety when you dine out on Asian Cuisine. Chef William will offer you choices ranging from Thai to Cantonee to Szechuan to Hakka. Like it hot or not, William will adjust to suit your taste. Whether it's seafood, chicken, beef or pork dishes you crave, you'll find new ways to enjoy them at Phoeniz. Dine in or take out, the choice is yours and all for really great prices. The $25 voucher to share with family or friends. 3730 Kingston Road at Scarborough Golf Club Road (good for one year)","Brian Philcox"
X041,453,57,14:20:00,"4 Private Piano Lessons 1/2 hour each",120.00,"Ms. Koren is an experienced piano teacher for all grades in a variety of musical styles.  Her teaching approach is highly professional and enthusiastic.","VSM Music Studio"
X002,454,57,14:20:00,"$100 Gift Certificate for Bakery selection",100.00,"Steve Wemyss is a renowned pastry chef.  His company, Patisserie Monaco, has been supplying the food service industry for over 20 years.  Choose from a selection of the finest desserts, French pastries, cookies, breakfast pastries, breads and flat breads. As a chef, Steve has prepared foods for Royalty and all the fine hotels in Ontario.","Patisserie Monaco"
U005,455,57,14:20:00,"Toronto Rock Lacrosse",308.00,"Four Platinum Tickets to any 2013 Toronto Rock regular season home game at the Air Canada Centre  Take your family or friends to see the Toronto Rocks inaction. Enjoy the game.","Millie Tavener"
W097,456,57,14:20:00,"Kodak Easyshare M583 14 MP Digital Camera",150.00,"Kodak Canada donates this Kodak Easyshare M583 black body Compact Digital Camera. It features a 14 MP sensor, 8X wide angle zoom lens, dedicated HD video capture button, and face recognition. This is the ideal pocket camera for the young mobile adult. Photos can be easily shared on the most popular social networking sites.","Kodak Canada"
X130,457,57,14:20:00,"BOSCH Single Cup Home Brewing System",200.00," This BOSCH brewing system makes: coffee, cappuccino, latte, espresso, cafe'crema, tea and hot chocolate.  Intelligent barcode technology. TASSIMO reads the barcode on each T DISC to determine the specific water quantity, brew time and brew temperature of every beverage.  So that every beverage is made the way it was meant to be - perfect!     ","Tim Hortons Canada"
S137,458,57,14:20:00,"Certificate for Car Washes & 25.00 Gas Card",150.00,"Donated by Sal Badali and son John their Toronto Autowash have the best car washes in Toronto.You get nine car washes and a $25.00 gas card. The car wash includes bottom blaster, then power wash with soft sponge brushes with foamy soap, then rinsed and it treats the car finish with two coats of wax. Touchless dryers and you have a sparkling clean car. Four locations to serve you Toronto City Hall, 1070 Millwood Rd., 305 Rexdale Blvd and 751 Kipling Ave. Drive a clean car for this winter.","Sal Badali"
S048,459,57,14:20:00,"Custom made Necklace",400.00,"Beautiful custom made necklace in Yellow Turquoise and African Opal with Jasper. Some of the stones are carved, some have different oolors in them and two are smooth ones.  Clasp in silver with a small silver bead between eachstone.  Look lovely on any young girl or woman. ","Geneva Centre for Autism"
W049,460,57,14:20:00,"$50 PRO SHOP & $40 DINNER AT WESTON",90.00,"THE INVESTORS GROUP LOCATED AT #700, 295 THE WEST MALL DONATES - A $50 GIFT CARDFOR THE PRO SHOP AT THE WESTON GOLF & COUNTRY CLUB - WHICH IS COMBINED WITH A $40 GIFT CARD FOR DINNER FOR TWO AT WESTON - VISIT WESTON'S PRO SHOP TO PICK UPANY GOLF ITEM YOU CHOOSE - THEN PROCEED TO THE CLUBHOUSE TO ENJOY WESTON'S FINE DINING IN THE NEW ARNOLD PALMER ROOM.","Investors Group Financial Services"
W043,461,58,14:30:00,"ASSORTED ROYALE PAPER PRODUCTS",80.00,"IRVING TISSUE - MANUFACTURERS OF ROYALE PAPER PRODUCTS - LOCATED AT 1551 WESTON ROAD DONATES - AN ASSORTMENT OF ROYALE PAPER PRODUCTS - CONSISTING OF TWO X 6 ROLL PACKS OF ROYALE PAPER TOWELS - 18 BOXES OF ROYALE FACIAL TISSUES - AND 10 X 4 ROLL PACKS OF ROYALE TOILET TISSUE - A GREAT SUPPLY OF ROYALE PRODUCTS TO SUIT EVERY HOUSEHOLD'S NEEDS - ALL COURTESY OF IRVING TISSUE","Irving Consumer Products"
W079,462,58,14:30:00,"AUTOGRAPHED GERRY CHEEVERS PICTURE",115.00,"UNIVERSAL PICTURE FRAMING AND SPORTS LOCATED AT 3850 STEELES AVE. WEST DONATES -AN AUTOGRAPHED PICTURE OF BOSTON BRUINS GOALIE GERRY CHEEVERS - PICTURE FRAME MEASURES 21"" X 25"" - COMPLETE WITH CERTIFICATE OF AUTHENTICITY - WOULD BE TREASURED BY ANY BOSTON BRUINS FAN - COURTESY OF UNIVERSAL PICTURE FRAMING AND SPORTS","Universal Picture Framing and Sports"
W015,463,58,14:30:00,"GENT'S DESIGNER SHIRT",90.00,"MOORE'S CLOTHING FOR MEN LOCATED AT 129 CARLINGVIEW DRIVE DONATES - A GENT'S DESIGNER SHIRT - STYLED BY GUY LAROCHE - SIZE MEDIUM WITH 15 INCH COLLAR - LONG SLEEVE STYLE WITH MAROON CHECK PATTERN - A GREAT ADDITION TO ANY GENTLEMAN'S CLASSIC WARDROBE - COURTESY OF MOORE'S CLOTHING FOR MEN.","Moores Clothing for Men"
S209,464,58,14:30:00,"Movie Assortment of DVD's & 2 sets of CD's",100.00,"Providence Healthcare has donated these DVD movie assortments & CD's We have the Pool Boys, The Whistleblower,Set of three of the 8th Fire,Season 1 of Lost Girl, and Coronation St. Vol. 1: 1960-1961. Two sets of 5 CD'sThe Roots of Rock Bill Haley, Buddy Holly,Chuck Berry, and The Scorpions. What an assortment of entertainment.","Providence Healthcare"
S184,465,58,14:30:00,"Olympus VR-340 Digital Camera",100.00,"Here's an affordable, great-looking camera with advanced digital technology all packed into an slim metal casing. 10X super wide optical zoom lens,standout 16-megapixel sensor, AF illuminator and higher ISO for shooting in low light, designedd to enhance yours shots. A nine Magic Art Filters that work with videos and still photos alike.. Make sure you take your slim attractive camera when you go out on the town or on holidays.","Rooms Renewed"
S200,466,58,14:30:00,"Nutrition Gift Card #1",100.00,"A $100.00 gift card redeemable at any GNC store in the GTA",GNC
S245,467,58,14:30:00,"Garden Organizer Rail & Certificate to Black Dog Pub",90.00,"Two items we have, one is the Evertidy Garden organizer rail. Has 11 pieces to it easy to install and is 46 inches long. When assembled you can hang up your shovels, rakes etc. Then go to the famous Black Dog Pub in eastern Scarborough, with this $50.00 were they serve great food, entertainment and lots and lots of different beers, wines etc. Have fun there.","Al Schaafsma"
X188,468,58,14:30:00,"Pair of Zoo Passes",50.00,"This is your opportunity to Go Wild For Life at the Toronto Zoo.  These two passes are valid until Dec 30, 2013.  Enjoy a day with the animals!","The Toronto Zoo"
S294,548,58,14:30:00,"Toronto Blue Jays - framed prints ",40.00,"4 specially framed prints of Toronto Blue Jays players...","Justin  Van dette"
X055,469,59,14:40:00,"TWIST & SHAPE",125.00,"Enjoy the benefits of training with the new Twist & Shape offering you a total body workout.  Unique Twist & Shape stepping motion moves up and down and side-to-side.","Rocco Colangelo"
Y049,470,59,14:40:00,"Show Tickets to Tracy Morgan",130.00,"Two prime tickets to Mega-comedian Tracy Morgan, star of Saturday night Live and 30 Rock. January 26 2013 at 9PM","Casino Rama"
X017,471,59,14:40:00,"45 Piece Stainless Steel Cutlery Set ",150.00,"This Royal Doulton Cutlery Set for 8 is of the Highest Quality, Heavy Weight, and Dishwasher Safe - A perfect Shower Gift for the Bride-To-Be, or a present for Someone buying their first home.  This Trendy Cutlery Pattern will complement Anyone's Dinner Table. ","Royal Lepage Signature Realty"
U066,472,59,14:40:00,"MOTHER BUNNYKINS #454/500",200.00,"ROYAL DOULTON FINE CHINA. MOTHER BUNNYKINS DB 472. THIS FIGURINE IS HANDMADE, HAND DECORATED AND MODELLED BY SHANE RIDGE. IT IS ISSUED IN A WORLDWIDE LIMITED EDITION OF 500","Friends of Rotary"
W140,473,59,14:40:00,"UNIQUE OUTDOOR FAMILY PORTRAIT ",245.00,"PHOTOGRAPHIC MEMORIES LOCATED IN CALEDON DONATES - A $245 GIFT CERTIFICATE FOR AN OUTDOOR FAMILY PORTRAIT - TO BE TAKEN AT A PARK 1/2 HOUR FROM BRAMTON - VALID UNTIL OCTOBER 15, 2013 - YOU WILL BE THRILLED AND TREASURE THIS UNIQUE FAMILY PORTRAIT SETTING - COURTESY OF PHOTOGRAPHIC MEMORIES.","Photographic Memories"
S062,474,59,14:40:00,"Framed signed picture Scottie Pippen",250.00,"This framed and matted picture is of Scottie Pippen of the Bulls, his number is 33.I shows him jumping to put the ball in the hoop in his white uniform with the red on the edges of the neck, sleeves and hem of his shorts. Great actionpicture and would be a great gift for the basketball fan. Has Certificate of Authorization on the back.","Geneva Centre for Autism"
W082,475,59,14:40:00,"2 BLUE JAYS 2013 GAME TICKETS",142.00,"CAR PARK MANAGEMENT SERVICES LOCATED AT 40 ISABELLA STREET DONATES - A GIFT CERTIFICATE FOR 2 BLUE JAYS GAME TICKETS - FOR A HOME GAME DURING THE 2013 BASEBALL SEASON - TICKET REQUEST MUST BE REDEEMED PRIOR TO JULY 31, 2013 - ENJOY YOUR VISIT TO ROGERS CENTRE AND THE BLUE JAYS - COURTESY OF CAR PAEK MANAGEMENT SERVICES LTD.","Car Park Management Services"
Y071,476,59,14:40:00,"Gift Certificate for the ""Ultimate Car Clean-Up""",189.00,"This includes a complete interior and exterior clean of any vehicle which retails for $189 for a car and $229 for a truck.","Mississauga Toyota"
X027,477,60,14:50:00,"22 inch S.S. Herringbone Necklace",350.00,"This beautiful stainless herringbone necklace shows exquisite craftsmanship.  It was created in Bali, Indonesia.  This 22"" necklace is the perfect accessory to grace a beautiful neck.  A substantial item of jewelry to adorn a special person.  300 grains.","The Artisans"
V003,478,60,14:50:00,"History of Golf Shadow Box",400.00,"Own a piece of golfing history with this one of a kind art shadow box valued at $400. The perfect gift for the golf lover in your life!","Humber River Regional Hospital Foundation"
X154,479,60,14:50:00,"Boy's Medium Winter Coat",120.00,"This is a quality winter coat made by Columbia, it has omni-shield, which is advanced water repellency.  It resists rain and stains.  Will keep you warm in the coldest conditions.  Colours are: Red, Black and Grey.","National Sports"
